Total University Score,Teaching Score,Research Score,Citation Score,International Score,Income Score,Staff to Student Ratio,Name,key,rank
96.1,99.7,98.7,98.8,72.4,34.5,11.23595506,Harvard University,1,1
96,97.7,98,99.9,54.6,83.7,14.49275362,California Institute of Technology,2,2
95.6,97.8,91.4,99.9,82.3,87.5,11.11111111,Massachusetts Institute of Technology,3,3
94.3,98.3,98.1,99.2,29.5,64.3,12.82051282,Stanford University,4,4
94.2,90.9,95.4,99.9,70.3,51.72624113,11.9047619,Princeton University,5,5
91.2,90.5,94.1,94,77.7,57,8.474576271,University of Cambridge,6,6
91.2,88.2,93.9,95.1,77.2,73.5,8.620689655,University of Oxford,7,6
91.1,84.2,99.3,97.8,39.6,51.72624113,6.097560976,University of California  Berkeley,8,8
90.6,89.2,94.5,88.3,90,92.9,8.547008547,Imperial College London,9,9
89.5,92.1,89.7,91.5,59.2,51.72624113,22.72727273,Yale University,10,10
87.7,83,92.9,93.2,48.1,51.72624113,9.708737864,University of California  Los Angeles,11,11
86.9,79.1,87.9,96.9,62.8,51.72624113,14.49275362,University of Chicago,12,12
86.4,80.9,89.2,92.3,58.5,100,27.77777778,Johns Hopkins University,13,13
83.9,82.2,88.8,88.1,62.4,34.7,9.803921569,Cornell University,14,14
83.4,77.5,87.8,83.1,93.7,51.72624113,6.802721088,ETH Zurich Swiss Federal Institute of Technology Zurich,15,15
83.4,83.9,89.1,84.1,53.3,59.6,11.11111111,University of Michigan,16,15
82,75.8,87.9,82.2,54.23,51.72624113,5.128205128,University of Toronto,17,17
81,73.8,73.8,92.6,90.9,51.72624113,16.94915254,Columbia University,18,18
79.5,71.8,82.7,93.6,32.9,43.7,15.38461538,University of Pennsylvania,19,19
79.3,70.3,79.3,95.7,39.1,53.7,7.633587786,Carnegie Mellon University,20,20
79.2,68.4,71.4,96.1,91.4,56.5,5.681818182,University of Hong Kong,21,21
78.4,74,81.6,80.6,90.8,39,9.345794393,University College London,22,22
78,68.2,77.1,95.9,49,32.8,8.474576271,University of Washington,23,23
76.5,66.8,71.5,92.3,49.4,100,20.83333333,Duke University,24,24
75.9,64.5,68.8,95.3,60.5,51.72624113,7.246376812,Northwestern University,25,25
75.6,87.7,91.9,58.1,18.4,51.72624113,17.54385965,University of Tokyo,26,26
75.3,67.9,72.6,83.2,73.2,95.1,4.975124378,Georgia Institute of Technology,27,27
75.1,69.5,62.5,96.5,32.6,100,9.900990099,Pohang University of Science and Technology,28,28
